Star,RA,dec,Magnitude,Distance
Proxima Centauri,217.3923215,-62.67607512,15.5,4.246
Wolf 1061,247.5748142,-12.66785108,10.072,14.04
Bernard's Star,269.4485025,4.739420051,9.511,5.978
Lalande 21185,165.8309597,35.94865303,7.52,8.307
Ross 154,282.458789,-23.83709745,10.544,9.7035
61 Cygni A,316.7484793,38.76386245,2.5,11.4
Tau Ceti,26.00905506,-15.9336802,3.5,11.75
Teegarden's Star,43.26964248,16.86437382,15.13,12.5
Gliese 1,1.383284152,-37.36774403,8.57,14.2
Gliese 687,264.1040526,68.33349764,9.15,14.84
