hjd,camera,filter,mag,mag err,flux (mJy),flux err
2458224.82506,be,V,12.899,0.02,26.556,0.489
2458206.73737,be,V,13.194,0.02241,20.249,0.417
2457791.79812,be,V,13.915,0.02331,10.422,0.224
2457785.68802,be,V,13.857,0.02296,10.994,0.232
2458171.70888,be,V,14.008,0.02397,9.562,0.211
2457923.62945,be,V,12.339,0.02,44.493,0.819
2457724.84118,be,V,12.34,0.02,44.47,0.818
2458305.59497,be,V,10.336,0.02,281.606,5.182
2458200.79564,be,V,13.316,0.02201,18.087,0.366
2458094.82458,be,V,13.569,0.02193,14.337,0.289
2457836.85591,be,V,14.126,0.02499,8.584,0.197
2457867.53383,be,V,13.7,0.02226,12.699,0.26
2458192.83593,be,V,13.52,0.02187,14.99,0.302
2458174.68828,be,V,13.935,0.02344,10.231,0.221
2458134.75244,be,V,14.1,0.02475,8.786,0.2
2457782.69371,be,V,13.809,0.02271,11.492,0.24
2457739.80831,be,V,12.864,0.02,27.442,0.505
2458181.67513,be,V,13.813,0.02273,11.452,0.239
2458132.7566,be,V,14.098,0.02473,8.801,0.2
2458309.58411,be,V,10.355,0.02,276.645,5.09
2458240.78486,be,V,12.622,0.02,34.281,0.631
2458214.61794,be,V,13.032,0.02336,23.512,0.505
2458163.64261,be,V,14.081,0.02458,8.945,0.202
2457801.78409,be,V,14.043,0.02425,9.261,0.207
2457548.52395,be,V,13.292,0.02207,18.506,0.376
2458160.7423,be,V,14.078,0.02455,8.968,0.203
2457893.62974,be,V,12.811,0.02,28.801,0.53
2458102.86113,be,V,13.572,0.02194,14.293,0.288
2457957.54065,be,V,10.826,0.02,179.257,3.298
2457945.4873,be,V,11.22,0.02,124.767,2.296
2458238.60474,be,V,12.658,0.02,33.178,0.61
2457567.62075,be,V,12.75,0.02,30.463,0.561
2457562.53965,be,V,12.869,0.02,27.307,0.502
2458229.8073,be,V,12.845,0.02,27.922,0.514
2458164.66421,be,V,14.079,0.02456,8.957,0.202
2457735.8183,be,V,12.739,0.02,30.785,0.566
2457585.56344,be,V,12.336,0.02,44.631,0.821
2457972.49473,be,V,10.459,0.02,251.394,4.626
2458199.76537,be,V,13.352,0.02194,17.508,0.353
2457762.73893,be,V,13.457,0.02185,15.892,0.319
2457780.72401,be,V,13.77,0.02253,11.913,0.247
2457779.69443,be,V,13.747,0.02243,12.169,0.251
2457749.77855,be,V,13.131,0.02272,21.46,0.448
2457894.68209,be,V,12.764,0.02,30.084,0.554
2457828.72156,be,V,14.178,0.0255,8.18,0.192
2457806.83779,be,V,14.089,0.02465,8.881,0.201
2457775.75915,be,V,13.698,0.02225,12.722,0.26
2458223.82983,be,V,12.918,0.02,26.112,0.48
2457439.77154,be,V,13.535,0.02189,14.784,0.298
2457436.63014,be,V,13.44,0.02185,16.146,0.325
2458135.75229,be,V,14.117,0.0249,8.648,0.198
2457803.64681,be,V,14.113,0.02487,8.682,0.199
2457773.7258,be,V,13.645,0.02209,13.362,0.272
2457460.63653,be,V,13.923,0.02336,10.348,0.222
2458210.76799,be,V,13.098,0.02291,22.111,0.466
2458138.74885,be,V,14.117,0.0249,8.651,0.198
2457769.76033,be,V,13.602,0.02199,13.903,0.281
2457944.57964,be,V,11.262,0.02,119.958,2.207
2458212.61679,be,V,13.058,0.02317,22.939,0.489
2458198.77005,be,V,13.373,0.02191,17.168,0.346
2457883.65642,be,V,13.141,0.02266,21.255,0.443
2458179.85109,be,V,13.807,0.0227,11.509,0.24
2458172.73435,be,V,13.994,0.02386,9.692,0.213
2458127.73854,be,V,14.048,0.02429,9.219,0.206
